sku,chunk_text,semantic_score,category,price_tier
SET-SKJ808-G0303920W-4PC-CORNER_8272885874858_47543296721066,seat firmness: soft.,-4,sofa,luxury
SKJ015-G0303970-C_8273846861994_47542986375338,seat firmness: medium.,0,sofa,premium
SKJ015-G0303970-C_8273846861994_47542986375338,cushions are loose with zip-off covers.,-8,sofa,premium
SKJ015-G0303970-C_8273846861994_47542986375338,"the frame support system includes no-sag springs, sustained by flexible elastic webbing.",-9,sofa,premium
SKJ015-G0303910-C_8273846861994_47542986342570,seat firmness: medium.,0,sofa,premium
SKJ015-G0303910-C_8273846861994_47542986342570,cushions are loose with zip-off covers.,-8,sofa,premium
SKJ015-G0303910-C_8273846861994_47542986342570,"the frame support system includes no-sag springs, sustained by flexible elastic webbing.",-9,sofa,premium
SKJ015-G0303970-AL_8273846468778_47542984573098,seat firmness: medium.,0,sofa,premium
SKJ015-G0303970-AL_8273846468778_47542984573098,cushions are loose with zip-off covers.,-8,sofa,premium
SKJ015-G0303970-AL_8273846468778_47542984573098,"the frame support system includes no-sag springs, sustained by flexible elastic webbing.",-9,sofa,premium
SKJ015-G0303910-AL_8273846468778_47542984540330,seat firmness: medium.,0,sofa,premium
SKJ015-G0303910-AL_8273846468778_47542984540330,cushions are loose with zip-off covers.,-8,sofa,premium
SKJ015-G0303910-AL_8273846468778_47542984540330,"the frame support system includes no-sag springs, sustained by flexible elastic webbing.",-9,sofa,premium
SKJ015-G0303970-6PC-MODULAR_8272885776554_47540816576682,seat firmness: medium.,0,sofa,luxury
SKJ015-G0303970-6PC-MODULAR_8272885776554_47540816576682,free swatches available.,0,sofa,luxury
SKJ015-G0303970-6PC-MODULAR_8272885776554_47540816576682,7 packages.,0,sofa,luxury
SKJ015-G0303970-CORNER-MODULAR_8272885743786_47540816412842,5-piece modular sectional (126.,11,sofa,luxury
SKJ015-G0303970-CORNER-MODULAR_8272885743786_47540816412842,seat firmness: medium.,0,sofa,luxury
SKJ015-G0303970-CORNER-MODULAR_8272885743786_47540816412842,free swatches available.,0,sofa,luxury
SKJ015-G0303970-4PC-MODULAR_8272885711018_47540816314538,seat firmness: medium.,0,sofa,luxury
SKJ015-G0303970-4PC-MODULAR_8272885711018_47540816314538,free swatches available.,0,sofa,luxury
SKJ015-G0303970-4PC-MODULAR_8272885711018_47540816314538,5 packages.,0,sofa,luxury
SKJ015-G0303970-3PC-SOFA_8272885645482_47540814839978,seat firmness: medium.,0,sofa,luxury
SKJ015-G0303970-3PC-SOFA_8272885645482_47540814839978,free swatches available.,0,sofa,luxury
SKJ015-G0303970-3PC-SOFA_8272885645482_47540814839978,4 packages.,0,sofa,luxury
SKJ015-G0303910-6PC-MODULAR_8272885776554_47538556633258,seat firmness: medium.,0,sofa,luxury
SKJ015-G0303910-6PC-MODULAR_8272885776554_47538556633258,free swatches available.,0,sofa,luxury
SKJ015-G0303910-6PC-MODULAR_8272885776554_47538556633258,7 packages.,0,sofa,luxury
SKJ015-G0303910-CORNER-MODULAR_8272885743786_47538556600490,5-piece modular sectional (126.,11,sofa,luxury
SKJ015-G0303910-CORNER-MODULAR_8272885743786_47538556600490,seat firmness: medium.,0,sofa,luxury
SKJ015-G0303910-CORNER-MODULAR_8272885743786_47538556600490,free swatches available.,0,sofa,luxury
SKJ015-G0303910-4PC-MODULAR_8272885711018_47538556567722,seat firmness: medium.,0,sofa,luxury
SKJ015-G0303910-4PC-MODULAR_8272885711018_47538556567722,free swatches available.,0,sofa,luxury
SKJ015-G0303910-4PC-MODULAR_8272885711018_47538556567722,5 packages.,0,sofa,luxury
SKJ015-G0303910-3PC-SOFA_8272885645482_47538556534954,seat firmness: medium.,0,sofa,luxury
SKJ015-G0303910-3PC-SOFA_8272885645482_47538556534954,free swatches available.,0,sofa,luxury
SKJ015-G0303910-3PC-SOFA_8272885645482_47538556534954,4 packages.,0,sofa,luxury
MS301-A0400502-1PS_8272885612714_47538556469418,seat dimension: 23.,0,chair,luxury
MS301-A0400502-1PS_8272885612714_47538556469418,6'd x29.,0,chair,luxury
MS301-A0400502-1PS_8272885612714_47538556469418,9'.,0,chair,luxury
SET-SKJ808-G0303970W-4PC-CORNER_8272885874858_47543296753834,free swatches available.,0,sofa,luxury
SET-SKJ808-G0303970W-4PC-CORNER_8272885874858_47543296753834,3 packages.,0,sofa,luxury
SET-SKJ808-G0303970W-4PC-CORNER_8272885874858_47543296753834,seat firmness: soft.,-4,sofa,luxury
SET-SKJ808-G0303970W-3PC-OTTOMAN_8272885842090_47543293018282,free swatches available.,0,sofa,luxury
SET-SKJ808-G0303970W-3PC-OTTOMAN_8272885842090_47543293018282,3 packages.,0,sofa,luxury
SET-SKJ808-G0303970W-3PC-OTTOMAN_8272885842090_47543293018282,seat firmness: soft.,-4,sofa,luxury
SKJ808-G0303970W-AL-2_8272886202538_47541982953642,free swatches available.,0,sofa,luxury
SKJ808-G0303970W-AL-2_8272886202538_47541982953642,seat firmness: soft.,-4,sofa,luxury
SKJ808-G0303970W-AL-2_8272886202538_47541982953642,adaptable modular design: customize your layout with ease.,-8,sofa,luxury
SKJ808-G0303920W-AL-2_8272886202538_47541982920874,free swatches available.,0,sofa,luxury
SKJ808-G0303920W-AL-2_8272886202538_47541982920874,seat firmness: soft.,-4,sofa,luxury
SKJ808-G0303920W-AL-2_8272886202538_47541982920874,adaptable modular design: customize your layout with ease.,-8,sofa,luxury
SET-SKJ808-G0303970W-CORNER-MODULAR_8272885907626_47541562212522,free swatches available.,0,sofa,luxury
SET-SKJ808-G0303970W-CORNER-MODULAR_8272885907626_47541562212522,5 packages.,0,sofa,luxury
SET-SKJ808-G0303970W-CORNER-MODULAR_8272885907626_47541562212522,seat firmness: soft.,-4,sofa,luxury
SET-SKJ808-G0303920W-CORNER-MODULAR_8272885907626_47541562179754,free swatches available.,0,sofa,luxury
SET-SKJ808-G0303920W-CORNER-MODULAR_8272885907626_47541562179754,5 packages.,0,sofa,luxury
SET-SKJ808-G0303920W-CORNER-MODULAR_8272885907626_47541562179754,seat firmness: soft.,-4,sofa,luxury
SET-SKJ808-G0303970W-5PC_8272885907626_47538590482602,free swatches available.,0,sofa,luxury
SET-SKJ808-G0303970W-5PC_8272885907626_47538590482602,5 packages.,0,sofa,luxury
SET-SKJ808-G0303970W-5PC_8272885907626_47538590482602,seat firmness: soft.,-4,sofa,luxury
SET-SKJ808-G0303970W-6PC-BED_8272886104234_47538590253226,free swatches available.,0,sofa,luxury
SET-SKJ808-G0303970W-6PC-BED_8272886104234_47538590253226,6 packages.,0,sofa,luxury
SET-SKJ808-G0303970W-6PC-BED_8272886104234_47538590253226,seat firmness: soft.,-4,sofa,luxury
SKJ808-G0303970W-O_8272886169770_47538589958314,spacious & versatile storage ottoman.,9,sofa,luxury
SKJ808-G0303970W-O_8272886169770_47538589958314,free swatches available.,0,sofa,luxury
SKJ808-G0303970W-O_8272886169770_47538589958314,seat firmness: soft.,-4,sofa,luxury
SKJ808-G0303970W-C_8272886235306_47538585501866,free swatches available.,0,sofa,luxury
SKJ808-G0303970W-C_8272886235306_47538585501866,seat firmness: soft.,-4,sofa,luxury
SKJ808-G0303970W-C_8272886235306_47538585501866,adaptable modular design: customize your layout with ease.,-8,sofa,luxury
SKJ808-G0303970W-AL_8272886202538_47538582225066,free swatches available.,0,sofa,luxury
SKJ808-G0303970W-AL_8272886202538_47538582225066,seat firmness: soft.,-4,sofa,luxury
SKJ808-G0303970W-AL_8272886202538_47538582225066,adaptable modular design: customize your layout with ease.,-8,sofa,luxury
SET-SKJ808-G0303970W-4PC_8272885874858_47538580193450,free swatches available.,0,sofa,luxury
SET-SKJ808-G0303970W-4PC_8272885874858_47538580193450,3 packages.,0,sofa,luxury
SET-SKJ808-G0303970W-4PC_8272885874858_47538580193450,seat firmness: soft.,-4,sofa,luxury
SET-SKJ808-G0303970W-3PC_8272885842090_47538580029610,free swatches available.,0,sofa,luxury
SET-SKJ808-G0303970W-3PC_8272885842090_47538580029610,3 packages.,0,sofa,luxury
SET-SKJ808-G0303970W-3PC_8272885842090_47538580029610,seat firmness: soft.,-4,sofa,luxury
SET-SKJ808-G0303970W-2PC_8272885809322_47538579767466,free swatches available.,0,sofa,luxury
SET-SKJ808-G0303970W-2PC_8272885809322_47538579767466,2 packages.,0,sofa,luxury
SET-SKJ808-G0303970W-2PC_8272885809322_47538579767466,seat firmness: soft.,-4,sofa,luxury
SKJ808-G0303920W-C_8272886235306_47538557223082,free swatches available.,0,sofa,luxury
SKJ808-G0303920W-C_8272886235306_47538557223082,seat firmness: soft.,-4,sofa,luxury
SKJ808-G0303920W-C_8272886235306_47538557223082,adaptable modular design: customize your layout with ease.,-8,sofa,luxury
SKJ808-G0303920W-AL_8272886202538_47538557190314,free swatches available.,0,sofa,luxury
SKJ808-G0303920W-AL_8272886202538_47538557190314,seat firmness: soft.,-4,sofa,luxury
SKJ808-G0303920W-AL_8272886202538_47538557190314,adaptable modular design: customize your layout with ease.,-8,sofa,luxury
SKJ808-G0303920W-O_8272886169770_47538557157546,spacious & versatile storage ottoman.,9,sofa,luxury
SKJ808-G0303920W-O_8272886169770_47538557157546,free swatches available.,0,sofa,luxury
SKJ808-G0303920W-O_8272886169770_47538557157546,seat firmness: soft.,-4,sofa,luxury
SET-SKJ808-G0303920W-6PC-BED_8272886104234_47538557092010,free swatches available.,0,sofa,luxury
SET-SKJ808-G0303920W-6PC-BED_8272886104234_47538557092010,6 packages.,0,sofa,luxury
SET-SKJ808-G0303920W-6PC-BED_8272886104234_47538557092010,seat firmness: soft.,-4,sofa,luxury
SET-SKJ808-G0303920W-5PC_8272885907626_47538556829866,free swatches available.,0,sofa,luxury
SET-SKJ808-G0303920W-5PC_8272885907626_47538556829866,5 packages.,0,sofa,luxury
SET-SKJ808-G0303920W-5PC_8272885907626_47538556829866,seat firmness: soft.,-4,sofa,luxury
SET-SKJ808-G0303920W-4PC_8272885874858_47538556731562,free swatches available.,0,sofa,luxury
SET-SKJ808-G0303920W-4PC_8272885874858_47538556731562,3 packages.,0,sofa,luxury
SET-SKJ808-G0303920W-4PC_8272885874858_47538556731562,seat firmness: soft.,-4,sofa,luxury
SET-SKJ808-G0303920W-3PC_8272885842090_47538556698794,free swatches available.,0,sofa,luxury
SET-SKJ808-G0303920W-3PC_8272885842090_47538556698794,3 packages.,0,sofa,luxury
SET-SKJ808-G0303920W-3PC_8272885842090_47538556698794,seat firmness: soft.,-4,sofa,luxury
SET-SKJ808-G0303920W-2PC_8272885809322_47538556666026,free swatches available.,0,sofa,luxury
SET-SKJ808-G0303920W-2PC_8272885809322_47538556666026,2 packages.,0,sofa,luxury
SET-SKJ808-G0303920W-2PC_8272885809322_47538556666026,seat firmness: soft.,-4,sofa,luxury
SKJ001B-CU6722-4PC-MODULAR_8036334174378_47536713334954,4-piece oversized modular sofa with chaise.,14,sofa,luxury
SKJ001B-CU6722-4PC-MODULAR_8036334174378_47536713334954,solid wood plinth base.,0,sofa,luxury
SKJ001B-CU6722-4PC-MODULAR_8036334174378_47536713334954,seat firmness: medium.,0,sofa,luxury
SKJ001B-CU6722-2PC-SOFA_8039473316010_47536682434730,2-piece oversized modular sofa.,11,sofa,premium
SKJ001B-CU6722-2PC-SOFA_8039473316010_47536682434730,solid wood plinth base.,0,sofa,premium
SKJ001B-CU6722-2PC-SOFA_8039473316010_47536682434730,seat firmness: medium.,0,sofa,premium
BS7079-G0402110_8271202812074_47528077656234,1.,0,chair,premium
BS7079-G0402110_8271202812074_47528077656234,2.,0,chair,premium
BS7079-G0402110_8271202812074_47528077656234,3.,0,chair,premium
BS7079-G0402190_8271202812074_47528077623466,1.,0,chair,premium
BS7079-G0402190_8271202812074_47528077623466,2.,0,chair,premium
BS7079-G0402190_8271202812074_47528077623466,3.,0,chair,premium
BS7079-8023-1_8271202812074_47528077590698,1.,0,chair,premium
BS7079-8023-1_8271202812074_47528077590698,2.,0,chair,premium
BS7079-8023-1_8271202812074_47528077590698,3.,0,chair,premium
SKJ001B-CU6722-6PC-MODULAR_8040585986218_47520220315818,6-piece oversized modular sofa with chaise.,14,sofa,luxury
SKJ001B-CU6722-6PC-MODULAR_8040585986218_47520220315818,solid wood plinth base.,0,sofa,luxury
SKJ001B-CU6722-6PC-MODULAR_8040585986218_47520220315818,seat firmness: medium.,0,sofa,luxury
SKJ001B-CU6722-CORNER-MODULAR_8039456702634_47520200687786,5-piece oversized modular sectional.,13,sofa,luxury
SKJ001B-CU6722-CORNER-MODULAR_8039456702634_47520200687786,solid wood plinth base.,0,sofa,luxury
SKJ001B-CU6722-CORNER-MODULAR_8039456702634_47520200687786,seat firmness: medium.,0,sofa,luxury
SKJ001B-CU6722-5PC-SOFA_8039456702634_47520200655018,5-piece oversized modular sectional.,13,sofa,luxury
SKJ001B-CU6722-5PC-SOFA_8039456702634_47520200655018,solid wood plinth base.,0,sofa,luxury
SKJ001B-CU6722-5PC-SOFA_8039456702634_47520200655018,seat firmness: medium.,0,sofa,luxury
SKJ001B-CU6722-3PC-SOFA_8039382024362_47520083050666,3-piece oversized modular sofa.,11,sofa,premium
SKJ001B-CU6722-3PC-SOFA_8039382024362_47520083050666,solid wood plinth base.,0,sofa,premium
SKJ001B-CU6722-3PC-SOFA_8039382024362_47520083050666,seat firmness: medium.,0,sofa,premium
MEA5027-L7502_8269149700266_47516322693290,seat dimension: 20.,0,chair,luxury
MEA5027-L7502_8269149700266_47516322693290,seat firmness: medium.,0,chair,luxury
MEA5027-L7502_8269149700266_47516322693290,hand selected matching faux leather on the sides and back.,-8,chair,luxury
MEA5027-L7519_8269149700266_47516322660522,seat dimension: 20.,0,chair,luxury
MEA5027-L7519_8269149700266_47516322660522,seat firmness: medium.,0,chair,luxury
MEA5027-L7519_8269149700266_47516322660522,hand selected matching faux leather on the sides and back.,-8,chair,luxury
MEA5027-L7520_8269149700266_47516322627754,seat dimension: 20.,0,chair,luxury
MEA5027-L7520_8269149700266_47516322627754,seat firmness: medium.,0,chair,luxury
MEA5027-L7520_8269149700266_47516322627754,hand selected matching faux leather on the sides and back.,-8,chair,luxury
DT7204-2000-OAK-DC_8233166864554_47465483403434,350-lb table base + 250-lb rated chairs (per seat).,4,table,luxury
DT7204-2000-OAK-DC_8233166864554_47465483403434,no artificial patterns—each table tells its own organic story.,-1,table,luxury
DT7204-2000-OAK-DC_8233166864554_47465483403434,"child-safe rounded corners prevent bumps. """,-8,table,luxury
DT7204-2000-WALNUT-DC_8233166864554_47465483370666,350-lb table base + 250-lb rated chairs (per seat).,4,table,luxury
DT7204-2000-WALNUT-DC_8233166864554_47465483370666,no artificial patterns—each table tells its own organic story.,-1,table,luxury
DT7204-2000-WALNUT-DC_8233166864554_47465483370666,"child-safe rounded corners prevent bumps. """,-8,table,luxury
MEA022-CU6724_8255917228202_47471896625322,seat dimension: 20.,0,chair,premium
MEA022-CU6724_8255917228202_47471896625322,seat firmness: medium.,0,chair,premium
